CREATIV.SPACE Pricing,,,,,,,
,,,,,,,
Model,,,,,,,
,,,,,,,
1 Bay,,,,,,,
,,1 YR,2 YR,3 YR,5 YR,,
,Drive Size,,,,,,
,15.4,$10.30,$7.75,$6.20,$4.95,,
,,,,,,,
,,,,,,,
,,1 YR,2 YR,3 YR,5 YR,,
,Drive Size,,,,,,
6 Bay,16 TB,$10.30,$7.75,$6.20,$4.95,,
,20 TB,$10.30,$7.75,$6.20,$4.95,,
,24 TB,$10.30,$7.75,$6.20,$4.95,,
,,,,,,,
,SSD Add,,,,,,
,4 TB,$18.35,$15.65,$14.00,$12.70,,
,8 TB,$18.35,$15.65,$14.00,$12.70,,
,,,,,,,
,,,,,,,
12 Bay,,,,,,,
,16 TB,$10.30,$7.75,$6.20,$4.95,,
,20 TB,$10.30,$7.75,$6.20,$4.95,,
,24 TB,$10.30,$7.75,$6.20,$4.95,,
,,,,,,,
,,,,,,,
,SSD Add,,,,,,
,15.36 TB (U.2),$18.35,$15.65,$14.00,$12.70,,
,30.72 TB (U.2),$18.35,$15.65,$14.00,$12.70,,
,,,,,,,
36 Bay,,,,,,,
,16 TB,$10.85,$8.15,$6.50,$5.20,,
,20 TB,$10.85,$8.15,$6.50,$5.20,,
,24 TB,$10.85,$8.15,$6.50,$5.20,,
,,,,,,,
,SSD Add,,,,,,
,15.36 TB (U.2),$18.35,$15.65,$14.00,$12.70,,
,30.72 TB (U.2),$18.35,$15.65,$14.00,$12.70,,
,,,,,,,
60 Bay SAS,,,,,,,
,16 TB,,,,,,
,20 TB,,,,,,
,24 TB,,,,,,
,,,,,,,
,SSD Add,,,,,,
,15.36 TB (U.2),$18.35,$15.65,$14.00,$12.70,,
,30.72 TB (U.2),$18.35,$15.65,$14.00,$12.70,,
,,,,,,,
60 Bay SATA,,,,,,,
,16 TB,,,,,,
,20 TB,,,,,,
,24 TB,,,,,,
,,,,,,,
,SSD Add,,,,,,
,15.36 TB (U.2),$18.35,$15.65,$14.00,$12.70,,
,30.72 TB (U.2),$18.35,$15.65,$14.00,$12.70,,